"","OBJECTID","SUBZONE_NO","SUBZONE_N","SUBZONE_C","CA_IND","PLN_AREA_N","PLN_AREA_C","REGION_N","REGION_C","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR","SHAPE_Leng","SHAPE_Area"
"242",243,1,"HOUGANG CENTRAL","HGSZ01","N","HOUGANG","HG","NORTH-EAST REGION","NER","C4419A9A8D05E0DF","2014/12/05",34470.7005,39076.5963,2759.81546608,441733.440164
"243",244,7,"LOYANG EAST","PRSZ07","N","PASIR RIS","PR","EAST REGION","ER","4B656D023BC2388D","2014/12/05",43592.3311,38890.0948,4185.46289802,970068.072231
"244",245,6,"DAIRY FARM","BPSZ06","N","BUKIT PANJANG","BP","WEST REGION","WR","FE385B2E17662DDF","2014/12/05",21181.12,38939.8375,4814.19537542,1235901.7517
"245",246,5,"PASIR RIS DRIVE","PRSZ05","N","PASIR RIS","PR","EAST REGION","ER","2B73597AF3F174F3","2014/12/05",42032.458,38988.2187,5311.06036561,1639669.01653
"246",247,1,"TAMPINES NORTH","TMSZ01","N","TAMPINES","TM","EAST REGION","ER","619A4A5A72D3F75A","2014/12/05",39763.9423,38698.1692,7128.35539054,2543106.63427
"247",248,2,"CHENG SAN","AMSZ02","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","504511A82C516D62","2014/12/05",30312.1923,39413.3478,4218.95806162,955710.188701
"248",249,1,"ANG MO KIO TOWN CENTRE","AMSZ01","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","B996E2754B3DA5E1","2014/12/05",29501.7659,39419.4049,2642.20877721,316882.017187
"249",250,6,"KEBUN BAHRU","AMSZ06","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","60BFB1E98CF343F9","2014/12/05",28700.1674,39496.5061,4288.19423135,1046417.00003
"250",251,2,"SERANGOON NORTH IND ESTATE","SGSZ02","N","SERANGOON","SG","NORTH-EAST REGION","NER","2648D1D39685215F","2014/12/05",31498.8784,39642.2223,4299.21119877,921430.948811
"251",252,1,"TENGAH","THSZ01","N","TENGAH","TH","WEST REGION","WR","7E6091D123C993EB","2014/12/05",16363.1893,38432.5474,12808.8765324,7370557.68173
"252",253,3,"SERANGOON NORTH","SGSZ03","N","SERANGOON","SG","NORTH-EAST REGION","NER","C685042EC58E5C55","2014/12/05",32458.8031,39597.6401,3610.73240827,684704.300497
"253",254,3,"PASIR RIS CENTRAL","PRSZ03","N","PASIR RIS","PR","EAST REGION","ER","FF244AAC9D31CDAF","2014/12/05",40755.9017,39341.7477,5273.2390021,1511487.38408
"254",255,1,"GOMBAK","BKSZ01","N","BUKIT BATOK","BK","WEST REGION","WR","1DCF02A5C4038697","2014/12/05",19560.7028,39034.544,7921.55721089,2459098.26541
"255",256,5,"PLAB","PLSZ05","N","PAYA LEBAR","PL","EAST REGION","ER","C3865987F1E8B141","2014/12/05",36691.9113,37730.7232,11966.016757,7034806.47175
"256",257,1,"KRANJI","SKSZ01","N","SUNGEI KADUT","SK","NORTH REGION","NR","3487338E07E5DE5F","2014/12/05",19766.8432,46226.3545,7899.95234274,3652031.03288
"257",258,4,"PASIR RIS PARK","PRSZ04","N","PASIR RIS","PR","EAST REGION","ER","9856E3CDCF57AD96","2014/12/05",41529.798,40218.9437,8533.96399773,1719704.59507
"258",259,5,"CHOA CHU KANG NORTH","CKSZ05","N","CHOA CHU KANG","CK","WEST REGION","WR","1ED0377B40E71BDA","2014/12/05",18347.5682,41593.7648,4552.31474589,1088638.01431
"259",260,2,"RIVERVALE","SESZ02","N","SENGKANG","SE","NORTH-EAST REGION","NER","986666487FF7CF78","2014/12/05",35977.6113,41060.8024,6315.95441659,1569034.7842
"260",261,7,"SENGKANG WEST","SESZ07","N","SENGKANG","SE","NORTH-EAST REGION","NER","53C82220D68B4128","2014/12/05",31319.9431,41936.6786,5991.02000779,1670029.85566
"261",262,6,"FERNVALE","SESZ06","N","SENGKANG","SE","NORTH-EAST REGION","NER","C2885440D673A7A2","2014/12/05",32806.2915,41896.3685,6491.76794385,2391082.76469
"262",263,4,"PUNGGOL FIELD","PGSZ04","N","PUNGGOL","PG","NORTH-EAST REGION","NER","7462F6141FA74A37","2014/12/05",36673.8994,41847.0902,5229.11611385,1378710.5357
"263",264,6,"YEW TEE","CKSZ06","N","CHOA CHU KANG","CK","WEST REGION","WR","D172AF50E2754CBF","2014/12/05",18498.1139,42506.0743,3715.39422999,923214.7487
"264",265,1,"PASIR RIS WAFER FAB PARK","PRSZ01","N","PASIR RIS","PR","EAST REGION","ER","9658EA18C574343B","2014/12/05",38612.4965,41196.6819,10606.6469042,5325421.57516
"265",266,3,"MATILDA","PGSZ03","N","PUNGGOL","PG","NORTH-EAST REGION","NER","14D0DB33976B7B81","2014/12/05",35089.9853,42728.2745,5361.91596413,1418284.25473
"266",267,5,"WATERWAY EAST","PGSZ05","N","PUNGGOL","PG","NORTH-EAST REGION","NER","A9E7E4A7DEE0B6F2","2014/12/05",37063.2238,42568.2237,5391.06510657,1489246.88272
"267",268,3,"GALI BATU","SKSZ03","N","SUNGEI KADUT","SK","NORTH REGION","NR","B462B6D7566CF5CD","2014/12/05",20165.0687,42429.2408,9036.68277072,5186128.07725
"268",269,3,"CHANGI AIRPORT","CHSZ03","N","CHANGI","CH","EAST REGION","ER","70B39BA5469B9018","2014/12/05",46661.849,36599.8158,28163.2282682,35096028.587
"269",270,11,"YIO CHU KANG NORTH","AMSZ11","N","ANG MO KIO","AM","NORTH-EAST REGION","NER","CCAEEFD474A4B1A3","2014/12/05",29505.9877,41733.4401,6445.24298189,1463278.17949
"270",271,1,"CHANGI POINT","CHSZ01","N","CHANGI","CH","EAST REGION","ER","0F530A1557E9AF1F","2014/12/05",44603.6326,41360.4186,4897.48236282,995944.765436
"271",272,3,"SENGKANG TOWN CENTRE","SESZ03","N","SENGKANG","SE","NORTH-EAST REGION","NER","5A2D0E9E6B285069","2014/12/05",35163.812,41501.1418,5216.40050197,1455507.85939
"272",273,4,"ANCHORVALE","SESZ04","N","SENGKANG","SE","NORTH-EAST REGION","NER","F00F5344E293F642","2014/12/05",34218.5354,41815.316,5112.46178675,1499108.62608
"273",274,1,"LORONG HALUS NORTH","SESZ01","N","SENGKANG","SE","NORTH-EAST REGION","NER","4A9FCDF7EAE9BEAE","2014/12/05",36619.2153,40404.6157,3930.09675185,924866.016485
"274",275,4,"YISHUN SOUTH","YSSZ04","N","YISHUN","YS","NORTH REGION","NR","42D160EC51F711D5","2014/12/05",28500.5467,44471.6735,5781.58805086,1340167.98833
"275",276,5,"LOWER SELETAR","YSSZ05","N","YISHUN","YS","NORTH REGION","NR","CF8B2D55A2958851","2014/12/05",29437.6195,43432.0454,15209.7627933,8453312.37974
